date_key,date,fiscal_year,fiscal_quarter,month,full_date,month_key
20170701,2017-07-01,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 01",201707
20170702,2017-07-02,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 02",201707
20170703,2017-07-03,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 03",201707
20170704,2017-07-04,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 04",201707
20170705,2017-07-05,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 05",201707
20170706,2017-07-06,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 06",201707
20170707,2017-07-07,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 07",201707
20170708,2017-07-08,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 08",201707
20170709,2017-07-09,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 09",201707
20170710,2017-07-10,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 10",201707
20170711,2017-07-11,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 11",201707
20170712,2017-07-12,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 12",201707
20170713,2017-07-13,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 13",201707
20170714,2017-07-14,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 14",201707
20170715,2017-07-15,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 15",201707
20170716,2017-07-16,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 16",201707
20170717,2017-07-17,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 17",201707
20170718,2017-07-18,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 18",201707
20170719,2017-07-19,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 19",201707
20170720,2017-07-20,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 20",201707
20170721,2017-07-21,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 21",201707
20170722,2017-07-22,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 22",201707
20170723,2017-07-23,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 23",201707
20170724,2017-07-24,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 24",201707
20170725,2017-07-25,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 25",201707
20170726,2017-07-26,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 26",201707
20170727,2017-07-27,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 27",201707
20170728,2017-07-28,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 28",201707
20170729,2017-07-29,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 29",201707
20170730,2017-07-30,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 30",201707
20170731,2017-07-31,FY2018,FY2018 Q1,2017 Jul,"2017 Jul, 31",201707
20170801,2017-08-01,FY2018,FY2018 Q1,2017 Aug,"2017 Aug, 01",201708
20170802,2017-08-02,FY2018,FY2018 Q1,2017 Aug,"2017 Aug, 02",201708
20170803,2017-08-03,FY2018,FY2018 Q1,2017 Aug,"2017 Aug, 03",201708
20170804,2017-08-04,FY2018,FY2018 Q1,2017 Aug,"2017 Aug, 04",201708
20170805,2017-08-05,FY2018,FY2018 Q1,2017 Aug,"2017 Aug, 05",201708
20170806,2017-08-06,FY2018,FY2018 Q1,2017 Aug,"2017 Aug, 06",201708
20170807,2017-08-07,FY2018,FY2018 Q1,2017 Aug,"2017 Aug, 07",201708
20170808,2017-08-08,FY2018,FY2018 Q1,2017 Aug,"2017 Aug, 08",201708
20170809,2017-08-09,FY2018,FY2018 Q1,2017 Aug,"2017 Aug, 09",201708
20170810,2017-08-10,FY2018,FY2018 Q1,2017 Aug,"2017 Aug, 10",201708
20170811,2017-08-11,FY2018,FY2018 Q1,2017 Aug,"2017 Aug, 11",201708
20170812,2017-08-12,FY2018,FY2018 Q1,2017 Aug,"2017 Aug, 12",201708
20170813,2017-08-13,FY2018,FY2018 Q1,2017 Aug,"2017 Aug, 13",201708
20170814,2017-08-14,FY2018,FY2018 Q1,2017 Aug,"2017 Aug, 14",201708
20170815,2017-08-15,FY2018,FY2018 Q1,2017 Aug,"2017 Aug, 15",201708
20170816,2017-08-16,FY2018,FY2018 Q1,2017 Aug,"2017 Aug, 16",201708
