sales_order_line_key,reseller_key,customer_key,product_key,order_date_key,due_date_key,ship_date_key,sales_territory_key,order_quantity,unit_price,extended_amount,unit_price_discount_pct,product_standard_cost,total_product_cost,sales_amount
43659001,676,-1,349,20170702,20170712,20170709.0,5,1,2024.994,2024.994,0,1898.0944,1898.0944,2024.994
43659002,676,-1,350,20170702,20170712,20170709.0,5,3,2024.994,6074.982,0,1898.0944,5694.2832,6074.982
43659003,676,-1,351,20170702,20170712,20170709.0,5,1,2024.994,2024.994,0,1898.0944,1898.0944,2024.994
43659004,676,-1,344,20170702,20170712,20170709.0,5,1,2039.994,2039.994,0,1912.1544,1912.1544,2039.994
43659005,676,-1,345,20170702,20170712,20170709.0,5,1,2039.994,2039.994,0,1912.1544,1912.1544,2039.994
43659006,676,-1,346,20170702,20170712,20170709.0,5,2,2039.994,4079.988,0,1912.1544,3824.3088,4079.988
43659007,676,-1,347,20170702,20170712,20170709.0,5,1,2039.994,2039.994,0,1912.1544,1912.1544,2039.994
43659008,676,-1,229,20170702,20170712,20170709.0,5,3,28.8404,86.5212,0,31.7244,95.1732,86.5212
43659009,676,-1,235,20170702,20170712,20170709.0,5,1,28.8404,28.8404,0,31.7244,31.7244,28.8404
43659010,676,-1,218,20170702,20170712,20170709.0,5,6,5.7,34.2,0,3.3963,20.3778,34.2
43659011,676,-1,223,20170702,20170712,20170709.0,5,2,5.1865,10.373,0,5.7052,11.4104,10.373
43659012,676,-1,220,20170702,20170712,20170709.0,5,4,20.1865,80.746,0,12.0278,48.1112,80.746
43660001,117,-1,326,20170705,20170715,20170712.0,5,1,419.4589,419.4589,0,413.1463,413.1463,419.4589
43660002,117,-1,319,20170705,20170715,20170712.0,5,1,874.794,874.794,0,884.7083,884.7083,874.794
43661001,442,-1,300,20170705,20170715,20170712.0,6,1,809.76,809.76,0,699.0928,699.0928,809.76
43661002,442,-1,296,20170705,20170715,20170712.0,6,1,714.7043,714.7043,0,617.0281,617.0281,714.7043
43661003,442,-1,304,20170705,20170715,20170712.0,6,2,714.7043,1429.4086,0,617.0281,1234.0562,1429.4086
43661004,442,-1,223,20170705,20170715,20170712.0,6,4,5.1865,20.746,0,5.7052,22.8208,20.746
43661005,442,-1,232,20170705,20170715,20170712.0,6,4,28.8404,115.3616,0,31.7244,126.8976,115.3616
43661006,442,-1,293,20170705,20170715,20170712.0,6,2,722.5949,1445.1898,0,623.8403,1247.6806,1445.1898
43661007,442,-1,348,20170705,20170715,20170712.0,6,3,2024.994,6074.982,0,1898.0944,5694.2832,6074.982
43661008,442,-1,351,20170705,20170715,20170712.0,6,2,2024.994,4049.988,0,1898.0944,3796.1888,4049.988
43661009,442,-1,220,20170705,20170715,20170712.0,6,2,20.1865,40.373,0,12.0278,24.0556,40.373
43661010,442,-1,292,20170705,20170715,20170712.0,6,2,818.7,1637.4,0,706.811,1413.622,1637.4
43661011,442,-1,349,20170705,20170715,20170712.0,6,4,2024.994,8099.976,0,1898.0944,7592.3776,8099.976
43661012,442,-1,346,20170705,20170715,20170712.0,6,2,2039.994,4079.988,0,1912.1544,3824.3088,4079.988
43661013,442,-1,235,20170705,20170715,20170712.0,6,2,28.8404,57.6808,0,31.7244,63.4488,57.6808
43661014,442,-1,350,20170705,20170715,20170712.0,6,2,2024.994,4049.988,0,1898.0944,3796.1888,4049.988
43661015,442,-1,215,20170705,20170715,20170712.0,6,5,20.1865,100.9325,0,12.0278,60.139,100.9325
43662001,227,-1,330,20170707,20170717,20170714.0,6,3,419.4589,1258.3767,0,413.1463,1239.4389,1258.3767
43662002,227,-1,342,20170707,20170717,20170714.0,6,5,419.4589,2097.2945,0,413.1463,2065.7315,2097.2945
43662003,227,-1,272,20170707,20170717,20170714.0,6,2,183.9382,367.8764,0,181.4857,362.9714,367.8764
43662004,227,-1,315,20170707,20170717,20170714.0,6,4,874.794,3499.176,0,884.7083,3538.8332,3499.176
43662005,227,-1,262,20170707,20170717,20170714.0,6,3,183.9382,551.8146,0,181.4857,544.4571,551.8146
43662006,227,-1,326,20170707,20170717,20170714.0,6,5,419.4589,2097.2945,0,413.1463,2065.7315,2097.2945
43662007,227,-1,332,20170707,20170717,20170714.0,6,3,419.4589,1258.3767,0,413.1463,1239.4389,1258.3767
43662008,227,-1,338,20170707,20170717,20170714.0,6,2,419.4589,838.9178,0,413.1463,826.2926,838.9178
43662009,227,-1,314,20170707,20170717,20170714.0,6,1,2146.962,2146.962,0,2171.2942,2171.2942,2146.962
43662010,227,-1,317,20170707,20170717,20170714.0,6,1,874.794,874.794,0,884.7083,884.7083,874.794
43662011,227,-1,328,20170707,20170717,20170714.0,6,3,419.4589,1258.3767,0,413.1463,1239.4389,1258.3767
43662012,227,-1,275,20170707,20170717,20170714.0,6,1,356.898,356.898,0,352.1394,352.1394,356.898
43662013,227,-1,319,20170707,20170717,20170714.0,6,6,874.794,5248.764,0,884.7083,5308.2498,5248.764
43662014,227,-1,270,20170707,20170717,20170714.0,6,1,183.9382,183.9382,0,181.4857,181.4857,183.9382
43662015,227,-1,253,20170707,20170717,20170714.0,6,3,178.5808,535.7424,0,176.1997,528.5991,535.7424
43662016,227,-1,310,20170707,20170717,20170714.0,6,1,2146.962,2146.962,0,2171.2942,2171.2942,2146.962
43662017,227,-1,322,20170707,20170717,20170714.0,6,3,419.4589,1258.3767,0,413.1463,1239.4389,1258.3767
43662018,227,-1,264,20170707,20170717,20170714.0,6,1,183.9382,183.9382,0,181.4857,181.4857,183.9382
43662019,227,-1,276,20170707,20170717,20170714.0,6,1,356.898,356.898,0,352.1394,352.1394,356.898
43662020,227,-1,285,20170707,20170717,20170714.0,6,1,178.5808,178.5808,0,176.1997,176.1997,178.5808
43662021,227,-1,334,20170707,20170717,20170714.0,6,3,419.4589,1258.3767,0,413.1463,1239.4389,1258.3767
43662022,227,-1,316,20170707,20170717,20170714.0,6,1,874.794,874.794,0,884.7083,884.7083,874.794
43663001,510,-1,322,20170707,20170717,20170714.0,4,1,419.4589,419.4589,0,413.1463,413.1463,419.4589
43664001,397,-1,345,20170707,20170717,20170714.0,1,1,2039.994,2039.994,0,1912.1544,1912.1544,2039.994
43664002,397,-1,348,20170707,20170717,20170714.0,1,4,2024.994,8099.976,0,1898.0944,7592.3776,8099.976
43664003,397,-1,229,20170707,20170717,20170714.0,1,1,28.8404,28.8404,0,31.7244,31.7244,28.8404
43664004,397,-1,235,20170707,20170717,20170714.0,1,1,28.8404,28.8404,0,31.7244,31.7244,28.8404
43664005,397,-1,350,20170707,20170717,20170714.0,1,2,2024.994,4049.988,0,1898.0944,3796.1888,4049.988
43664006,397,-1,344,20170707,20170717,20170714.0,1,3,2039.994,6119.982,0,1912.1544,5736.4632,6119.982
43664007,397,-1,346,20170707,20170717,20170714.0,1,1,2039.994,2039.994,0,1912.1544,1912.1544,2039.994
43664008,397,-1,351,20170707,20170717,20170714.0,1,1,2024.994,2024.994,0,1898.0944,1898.0944,2024.994
43665001,146,-1,220,20170707,20170717,20170714.0,1,2,20.1865,40.373,0,12.0278,24.0556,40.373
43665002,146,-1,346,20170707,20170717,20170714.0,1,1,2039.994,2039.994,0,1912.1544,1912.1544,2039.994
43665003,146,-1,212,20170707,20170717,20170714.0,1,1,20.1865,20.1865,0,12.0278,12.0278,20.1865
43665004,146,-1,232,20170707,20170717,20170714.0,1,2,28.8404,57.6808,0,31.7244,63.4488,57.6808
43665005,146,-1,350,20170707,20170717,20170714.0,1,2,2024.994,4049.988,0,1898.0944,3796.1888,4049.988
43665006,146,-1,223,20170707,20170717,20170714.0,1,2,5.1865,10.373,0,5.7052,11.4104,10.373
43665007,146,-1,348,20170707,20170717,20170714.0,1,2,2024.994,4049.988,0,1898.0944,3796.1888,4049.988
43665008,146,-1,351,20170707,20170717,20170714.0,1,1,2024.994,2024.994,0,1898.0944,1898.0944,2024.994
43665009,146,-1,218,20170707,20170717,20170714.0,1,6,5.7,34.2,0,3.3963,20.3778,34.2
43665010,146,-1,349,20170707,20170717,20170714.0,1,1,2024.994,2024.994,0,1898.0944,1898.0944,2024.994
43666001,511,-1,330,20170709,20170719,20170716.0,4,1,419.4589,419.4589,0,413.1463,413.1463,419.4589
43666002,511,-1,314,20170709,20170719,20170716.0,4,1,2146.962,2146.962,0,2171.2942,2171.2942,2146.962
43666003,511,-1,275,20170709,20170719,20170716.0,4,1,356.898,356.898,0,352.1394,352.1394,356.898
43666004,511,-1,317,20170709,20170719,20170716.0,4,1,874.794,874.794,0,884.7083,884.7083,874.794
43666005,511,-1,338,20170709,20170719,20170716.0,4,2,419.4589,838.9178,0,413.1463,826.2926,838.9178
43666006,511,-1,334,20170709,20170719,20170716.0,4,1,419.4589,419.4589,0,413.1463,413.1463,419.4589
43667001,646,-1,219,20170710,20170720,20170717.0,3,3,5.7,17.1,0,3.3963,10.1889,17.1
43667002,646,-1,346,20170710,20170720,20170717.0,3,1,2039.994,2039.994,0,1912.1544,1912.1544,2039.994
43667003,646,-1,351,20170710,20170720,20170717.0,3,1,2024.994,2024.994,0,1898.0944,1898.0944,2024.994
43667004,646,-1,348,20170710,20170720,20170717.0,3,1,2024.994,2024.994,0,1898.0944,1898.0944,2024.994
43668001,514,-1,317,20170710,20170720,20170717.0,6,3,874.794,2624.382,0,884.7083,2654.1249,2624.382
43668002,514,-1,314,20170710,20170720,20170717.0,6,2,2146.962,4293.924,0,2171.2942,4342.5884,4293.924
43668003,514,-1,322,20170710,20170720,20170717.0,6,7,419.4589,2936.2123,0,413.1463,2892.0241,2936.2123
43668004,514,-1,332,20170710,20170720,20170717.0,6,6,419.4589,2516.7534,0,413.1463,2478.8778,2516.7534
43668005,514,-1,232,20170710,20170720,20170717.0,6,6,28.8404,173.0424,0,31.7244,190.3464,173.0424
43668006,514,-1,272,20170710,20170720,20170717.0,6,6,183.9382,1103.6292,0,181.4857,1088.9142,1103.6292
43668007,514,-1,212,20170710,20170720,20170717.0,6,2,20.1865,40.373,0,12.0278,24.0556,40.373
43668008,514,-1,220,20170710,20170720,20170717.0,6,2,20.1865,40.373,0,12.0278,24.0556,40.373
43668009,514,-1,315,20170710,20170720,20170717.0,6,2,874.794,1749.588,0,884.7083,1769.4166,1749.588
43668010,514,-1,223,20170710,20170720,20170717.0,6,4,5.1865,20.746,0,5.7052,22.8208,20.746
